questionId(UUID),Section,Question,ResponseType,SubTest,ExtractOrder
336c948f-7d6b-4dbf-83d6-88f98b79c445,G,/ga/cue,string,Stimulability,181
3c61a82d-5bb7-497f-93ec-3f2c52667a92,G,/ag/model,string,Stimulability,182
22109fab-24cd-4fd4-b0a1-b759bb969887,G,/ag/cue,string,Stimulability,183
3574c34a-8434-4161-a65e-01367234a26e,G,/aga/model,string,Stimulability,184
30b6bced-6578-480c-a163-c9dd75a4b0d5,G,/aga/cue,string,Stimulability,185
4547bfdc-601f-4d67-a191-048b63b5c382,M,/ma/model,string,Stimulability,186
e1c1f1f0-7fcd-4f7b-a7d4-8680168b1111,M,/ma/cue,string,Stimulability,187
12a48097-fac5-4918-9ba7-f984d2e98cf6,M,/am/model,string,Stimulability,188
475d3f24-3f10-4426-8079-e574f5831163,M,/am/cue,string,Stimulability,189
9f9c78dc-e367-49eb-a230-e68a491cd7d2,M,/ama/model,string,Stimulability,190
cce060d6-1fda-4475-bc77-4265fe114346,M,/ama/cue,string,Stimulability,191
ae2b5ab1-131c-4777-a2e2-7f20f312984c,N,/na/model,string,Stimulability,192
433e24f0-b688-464f-b3d9-3a4d941756cb,N,/na/cue,string,Stimulability,193
c9471041-fd2b-4b72-860e-92449e2ec353,N,/an/model,string,Stimulability,194
bae4c857-e4d7-48ea-8555-f95b1ed06502,N,/an/cue,string,Stimulability,195
5a54ab83-01cb-40b4-b8b9-57cf017a4309,N,/ana/model,string,Stimulability,196
e729014b-de5f-4bcd-a38f-461a94376d1d,N,/ana/cue,string,Stimulability,197
fb496396-b1bf-47e4-8023-e8722f0b29ba,ŋ,/ŋa/model,string,Stimulability,198
1ebb7e5e-08c4-416f-9c67-a0bc9d8363a6,ŋ,/ŋa/cue,string,Stimulability,199
5ae8955d-638f-444b-84cf-b3f29ca341f4,ŋ,/aŋ/model,string,Stimulability,200
d43661d5-5bcf-45c9-a86c-898de06e101e,ŋ,/aŋ/cue,string,Stimulability,201
28e0ca1a-1d06-4218-9330-804a15972019,ŋ,/aŋa/model,string,Stimulability,202
a13221de-525d-4ca8-a7d4-2aaac235353f,ŋ,/aŋa/cue,string,Stimulability,203
102088ed-7e14-4bd0-ac53-e75d3b0d5777,F,/fa/model,string,Stimulability,204
f591e053-4538-420f-a10e-cedb04278c74,F,/fa/cue,string,Stimulability,205
82a1d6a3-b390-48fa-9222-a31970a8f87c,F,/af/model,string,Stimulability,206
9413fd6a-9d20-456e-922c-ab55f36d1d85,F,/af/cue,string,Stimulability,207
b78c8888-7a87-4b7d-ae6e-1ffac5edc273,F,/afa/model,string,Stimulability,208
54149f9d-3458-4fd7-8076-6cb9389e37da,F,/afa/cue,string,Stimulability,209
4a2c26d3-0f81-41f1-9320-0cf49e64d510,V,/va/model,string,Stimulability,210
1b111a7c-7bc6-4d85-9289-406043b49963,V,/va/cue,string,Stimulability,211
8d64a62f-9392-465e-8184-6552db5a4c0e,V,/av/model,string,Stimulability,212
91b4d1b3-2fdb-45ba-87a1-6fe19bb2d94a,V,/av/cue,string,Stimulability,213
3b052538-4e04-4ac0-819a-b5d29250393f,V,/ava/model,string,Stimulability,214
d64101b1-af83-44bb-9d80-d710b8462d7f,V,/ava/cue,string,Stimulability,215
83b965c6-5e54-4527-ac5d-2feba3e68e6d,θ,/θa/model,string,Stimulability,216
ac79441d-ec86-43fa-ba29-99ee48a81248,θ,/θa/cue,string,Stimulability,217
c9cb4bc3-3985-4aa5-9b03-50ff37942bd0,θ,/aθ/model,string,Stimulability,218
cc35bb15-629f-40cd-9df1-86d7cc20b44d,θ,/aθ/cue,string,Stimulability,219
633e5081-a7ff-42fa-a8fc-d4dba64c4208,θ,/aθa/model,string,Stimulability,220
42bf640a-bb47-4517-9bc5-8429845b357c,θ,/aθa/cue,string,Stimulability,221
29e9b7cc-1faa-44a5-b51e-97ddc3a634be,ð,/ða/model,string,Stimulability,222
ce053bde-ab9d-441f-8c3a-1d6bb9f3f0e4,ð,/ða/cue,string,Stimulability,223
2b56dd68-62a3-402a-9281-e90de7c8af3d,ð,/að/model,string,Stimulability,224
806ab30f-cc5f-4188-afc4-9e9f96ac9fa0,ð,/að/cue,string,Stimulability,225
64a20576-0e13-48e7-8024-f9015bfe841c,ð,/aða/model,string,Stimulability,226
f98a22dd-ba92-45f3-9a53-c45d433a14dd,ð,/aða/cue,string,Stimulability,227
6b0dc5fd-0af4-43f7-8dd3-018456c1ff09,S,/sa/model,string,Stimulability,228
a9e1949e-27eb-402d-9142-0ee3821c69bc,S,/sa/cue,string,Stimulability,229
26a32c7b-98c7-4983-bde2-f1fbd2c2bee5,S,/as/model,string,Stimulability,230
fbaaeaaf-feb9-4e75-8224-0c8bd12b4f74,S,/as/cue,string,Stimulability,231
6a88e2c2-7f18-4847-8f9f-251da570f097,S,/asa/model,string,Stimulability,232
133fb4e0-224c-4922-87be-428f51474a37,S,/asa/cue,string,Stimulability,233
f06d4357-264c-4fb5-b9d7-1b92169c43c4,Z,/za/model,string,Stimulability,234
52199476-3b86-4e00-967a-77be59ed483b,Z,/za/cue,string,Stimulability,235
bfb75a66-f632-44d1-8838-2bc7b3c8b0c5,Z,/az/model,string,Stimulability,236
cfdd9304-5a07-4262-9169-0d3322f33895,Z,/az/cue,string,Stimulability,237
cf9d0f94-423c-4c85-bc2d-86ebe422d0cd,Z,/aza/model,string,Stimulability,238
ca705d6b-648e-4ee1-a164-b6c8c8208416,Z,/aza/cue,string,Stimulability,239
70afb3b1-ec0d-42e2-8cec-e7b394a10af1,ʃ,/ʃa/model,string,Stimulability,240
83d12399-00f4-405e-bf0d-f03ec0b698a2,ʃ,/ʃa/cue,string,Stimulability,241
4ffaf09c-a8c1-487c-972f-73536b41fc8b,ʃ,/aʃ/model,string,Stimulability,242
893d5892-6323-4b21-ad3d-c28fd7f928d7,ʃ,/aʃ/cue,string,Stimulability,243
fe67065f-e9d2-49a2-80fc-f7ffd53ce524,ʃ,/aʃa/model,string,Stimulability,244
b5b2ce4f-28f5-4259-8fa7-f2f0463dc3e3,ʃ,/aʃa/cue,string,Stimulability,245
6551b61b-acbc-48b9-b4fb-f303f9941a53,ʧ,/ʧa/model,string,Stimulability,246
6fe09435-bae6-47d7-8b5d-3d3db2248ce5,ʧ,/ʧa/cue,string,Stimulability,247
5b30157e-a580-4279-91ba-66d52e67c7ea,ʧ,/aʧ/model,string,Stimulability,248
cbc17912-2802-4cf7-abd9-c1530b44f06b,ʧ,/aʧ/cue,string,Stimulability,249
c1f9269f-bd02-4b69-8cde-6e2cae9bc7c6,ʧ,/aʧa/model,string,Stimulability,250
93a6cd42-ebf4-41be-ad1f-14c326ebaa50,ʧ,/aʧa/cue,string,Stimulability,251
a02142a7-6be6-4274-b283-693355041c39,ʤ,/ʤa/model,string,Stimulability,252
a30e9b9d-c708-4505-a382-c8d5e64ceacc,ʤ,/ʤa/cue,string,Stimulability,253
f35bd124-5f58-483e-82ea-2602f2e2acf7,ʤ,/aʤ/model,string,Stimulability,254
1e789f0f-8f74-48ec-a9d9-540a929ff6df,ʤ,/aʤ/cue,string,Stimulability,255
18287c40-e179-468e-9f2c-425023878d28,ʤ,/aʤa/model,string,Stimulability,256
edcaba51-ad40-4bbe-9b87-1702d8c2683e,ʤ,/aʤa/cue,string,Stimulability,257
68e17612-8032-43e6-b435-c5b04ed5718d,L,/la/model,string,Stimulability,258
b87faeb9-aba0-4b83-9723-c05eed71e0cc,L,/la/cue,string,Stimulability,259
5035a95a-ea4a-4ff8-aa94-f18678471289,L,/al/model,string,Stimulability,260
385cd88b-de32-4130-9fca-96521a103cd9,L,/al/cue,string,Stimulability,261
42a5efd3-1a9d-41df-9279-5be4851afe25,L,/ala/model,string,Stimulability,262
4919c0d3-d215-4746-b025-c347be3601fa,L,/ala/cue,string,Stimulability,263
12046cb1-8bb0-4211-bb3d-46115d1b92b8,ɹ,/ɹa/model,string,Stimulability,264
45c00a30-c117-4489-816f-243bbcbb7c60,ɹ,/ɹa/cue,string,Stimulability,265
692d4cb6-428d-4fa5-95df-090d1f9e4b7d,ɹ,/aɹ/model,string,Stimulability,266
9876fb48-fd55-436c-8078-7f48dd4206ed,ɹ,/aɹ/cue,string,Stimulability,267
26c117ba-334b-40ae-9541-0c08dd4c5ac1,ɹ,/aɹa/model,string,Stimulability,268
b5957a96-da3c-47dd-954c-b39b09fda027,ɹ,/aɹa/cue,string,Stimulability,269
d90f1a52-55d3-40b8-a7be-dfcba7b66166,W,/wa/model,string,Stimulability,270
bf3d746d-274c-4c1f-9c04-4377a59fb633,W,/wa/cue,string,Stimulability,271
68dba2b6-3e27-429d-acc8-f86b91f14e68,W,/aw/model,string,Stimulability,272
11ea0aaf-8477-4916-8582-a59672b171b5,W,/aw/cue,string,Stimulability,273
501846af-966f-4724-a006-40999febf25f,W,/awa/model,string,Stimulability,274
4dc1b4f8-a8b7-48bf-972d-9fc06750033c,W,/awa/cue,string,Stimulability,275
f0499746-c779-44fe-9473-7ff7779c7180,J,/ja/model,string,Stimulability,276
a1ca64d9-52da-4238-99fe-3715703a173e,J,/ja/cue,string,Stimulability,277
dc97c536-ec08-420b-b8f9-5e8b9fc997dd,J,/aj/model,string,Stimulability,278
cc0037ac-cad3-4205-b325-34721c18567c,J,/aj/cue,string,Stimulability,279
acb534b0-9f0a-4fcf-b099-b96791f2ed82,J,/aja/model,string,Stimulability,280
a1f5d025-bcd0-4e46-b9ea-7c000faf3996,J,/aja/cue,string,Stimulability,281
df7b0534-6092-4c7e-b812-3d5da6bd7644,H,/ha/model,string,Stimulability,282
b7576f0d-017e-4680-9ce3-65daaf3eff8c,H,/ha/cue,string,Stimulability,283
64bf49e4-4dfc-442d-b19d-ad3497db0820,H,/ah/model,string,Stimulability,284
abc91f3f-c8ac-4169-8868-73fb6b73e6fe,H,/ah/cue,string,Stimulability,285
eedc5c47-a7a2-4f35-9b35-139508b1ae79,H,/aha/model,string,Stimulability,286
680c9fb5-c389-4ae8-b332-5b8e7104b811,H,/aha/cue,string,Stimulability,287
2686fe94-8ff3-417d-bb36-65bb0ec38438,ʒ,/ʒa/model,string,Stimulability,288
a6229e0b-bef2-4497-83e9-7fc72b2339b8,ʒ,/ʒa/cue,string,Stimulability,289
694af3f6-80fe-4eb7-b974-985ac2e69e57,ʒ,/aʒ/model,string,Stimulability,290
44447188-1359-4301-810c-e0439f8b8745,ʒ,/aʒ/cue,string,Stimulability,291
f6fe0d58-74d7-4423-b3c8-db190b73cb67,ʒ,/aʒa/model,string,Stimulability,292
f4a709a1-9ef9-4744-b61d-e175b5d35ec2,ʒ,/aʒa/cue,string,Stimulability,293
